#peversion=v.5.1.0-r7294,prefix=,time=12.05.2015 07:02:22,interval=200,licensetype=CUSTOM
#type=ProcessedLocation,formatid=Processed location CSV,project=BasketBall example,projectversion=unknown,testingmode=false
#format=$e$R,$i,$n,$c,$x2,$y2,$z2,$vx2,$vy2,$vz2,$q2,$G;$R
#tags=78a50469d9fa
0,78a50469d9fa,Ball,0001,-0.10,0.59,1.46,-0.25,-0.64,0.37,0.49,ActiveZone
200,78a50469d9fa,Ball,0001,-0.12,0.45,1.35,0.05,-0.76,-1.66,0.49,ActiveZone
400,78a50469d9fa,Ball,0001,-0.09,0.32,0.79,0.22,-0.46,-3.50,0.53,ActiveZone
600,78a50469d9fa,Ball,0001,-0.05,0.26,0.14,0.13,-0.13,-2.48,0.53,ActiveZone
800,78a50469d9fa,Ball,0001,-0.03,0.27,0.27,0.05,0.21,3.36,0.53,ActiveZone
1000,78a50469d9fa,Ball,0001,-0.03,0.33,1.31,-0.00,0.39,6.56,0.53,ActiveZone
1200,78a50469d9fa,Ball,0001,-0.03,0.42,2.71,-0.01,0.40,6.98,0.48,ActiveZone
1400,78a50469d9fa,Ball,0001,0.01,0.44,3.75,0.31,-0.10,3.62,0.48,ActiveZone
1600,78a50469d9fa,Ball,0001,0.07,0.41,4.24,0.31,-0.11,1.50,0.48,ActiveZone
1800,78a50469d9fa,Ball,0001,0.08,0.44,4.40,-0.47,0.56,-0.07,0.48,ActiveZone
2000,78a50469d9fa,Ball,0001,-0.06,0.61,4.22,-0.76,1.03,-1.64,0.48,ActiveZone
2200,78a50469d9fa,Ball,0001,-0.14,0.81,3.77,0.17,0.88,-2.82,0.48,ActiveZone
2400,78a50469d9fa,Ball,0001,0.10,0.91,3.18,2.41,0.03,-2.69,0.49,ActiveZone
2600,78a50469d9fa,Ball,0001,0.76,0.85,2.69,3.99,-0.54,-2.28,0.49,ActiveZone
2800,78a50469d9fa,Ball,0001,1.60,0.74,2.22,3.98,-0.40,-2.63,0.51,ActiveZone
3000,78a50469d9fa,Ball,0001,2.28,0.70,1.65,2.81,-0.09,-3.04,0.51,ActiveZone
3200,78a50469d9fa,Ball,0001,2.69,0.69,1.05,1.15,0.05,-2.84,0.51,ActiveZone
3400,78a50469d9fa,Ball,0001,2.75,0.63,0.57,-0.34,-0.77,-1.96,0.53,ActiveZone
3600,78a50469d9fa,Ball,0001,2.65,0.43,0.26,-0.45,-1.06,-1.17,0.53,ActiveZone
3800,78a50469d9fa,Ball,0001,2.66,0.25,0.09,0.82,-0.61,-0.54,0.53,ActiveZone
4000,78a50469d9fa,Ball,0001,2.97,0.21,0.03,2.15,0.19,-0.02,0.53,ActiveZone
4200,78a50469d9fa,Ball,0001,3.49,0.33,0.07,3.05,0.96,0.37,0.53,ActiveZone
4400,78a50469d9fa,Ball,0001,4.16,0.60,0.16,3.58,1.93,0.37,0.53,ActiveZone
4600,78a50469d9fa,Ball,0001,4.89,1.11,0.19,3.60,3.07,-0.10,0.53,ActiveZone
4800,78a50469d9fa,Ball,0001,5.55,1.78,0.15,2.87,3.55,-0.25,0.53,ActiveZone
5000,78a50469d9fa,Ball,0001,6.00,2.47,0.13,1.67,3.17,0.24,0.54,ActiveZone
5200,78a50469d9fa,Ball,0001,6.29,3.06,0.24,1.46,2.82,0.80,0.54,ActiveZone
5400,78a50469d9fa,Ball,0001,6.71,3.61,0.38,2.95,2.68,0.45,0.54,ActiveZone
5600,78a50469d9fa,Ball,0001,7.41,4.12,0.41,3.78,2.31,-0.13,0.54,ActiveZone
5800,78a50469d9fa,Ball,0001,8.14,4.52,0.34,3.37,1.68,-0.60,0.54,ActiveZone
6000,78a50469d9fa,Ball,0001,8.67,4.79,0.21,1.75,1.28,-0.42,0.57,ActiveZone
6200,78a50469d9fa,Ball,0001,8.88,5.05,0.18,0.45,1.30,0.05,0.57,ActiveZone
6400,78a50469d9fa,Ball,0001,8.90,5.32,0.21,-0.08,1.33,0.13,0.59,ActiveZone
6600,78a50469d9fa,Ball,0001,8.83,5.58,0.21,-0.61,1.33,-0.09,0.59,ActiveZone
6800,78a50469d9fa,Ball,0001,8.66,5.84,0.19,-1.20,1.20,-0.09,0.59,ActiveZone
7000,78a50469d9fa,Ball,0001,8.35,6.05,0.19,-1.79,0.92,0.32,0.59,ActiveZone
7200,78a50469d9fa,Ball,0001,7.95,6.15,0.43,-2.33,-0.10,1.86,0.59,ActiveZone
7400,78a50469d9fa,Ball,0001,7.36,5.95,0.84,-3.75,-2.05,1.97,0.59,ActiveZone
7600,78a50469d9fa,Ball,0001,6.36,5.31,1.04,-5.83,-4.08,0.09,0.53,ActiveZone
7800,78a50469d9fa,Ball,0001,5.23,4.44,0.91,-4.96,-4.40,-1.28,0.53,ActiveZone
8000,78a50469d9fa,Ball,0001,4.59,3.68,0.60,-0.96,-2.79,-1.37,0.54,ActiveZone
8200,78a50469d9fa,Ball,0001,4.77,3.30,0.42,2.29,-1.16,-0.48,0.54,ActiveZone
8400,78a50469d9fa,Ball,0001,5.34,3.14,0.39,3.02,-0.63,0.07,0.54,ActiveZone
8600,78a50469d9fa,Ball,0001,5.82,2.95,0.40,1.69,-1.59,-0.19,0.56,ActiveZone
8800,78a50469d9fa,Ball,0001,6.06,2.53,0.31,0.76,-2.42,-0.69,0.56,ActiveZone
9000,78a50469d9fa,Ball,0001,6.18,2.07,0.16,0.63,-2.00,-0.76,0.55,ActiveZone
9200,78a50469d9fa,Ball,0001,6.32,1.74,0.04,0.76,-1.35,-0.35,0.55,ActiveZone
9400,78a50469d9fa,Ball,0001,6.48,1.47,0.07,0.81,-1.45,0.82,0.55,ActiveZone
9600,78a50469d9fa,Ball,0001,6.64,1.09,0.43,0.65,-2.71,2.94,0.53,ActiveZone
9800,78a50469d9fa,Ball,0001,6.73,0.36,1.17,0.32,-4.59,4.21,0.53,ActiveZone
10000,78a50469d9fa,Ball,0001,6.77,-0.75,1.97,0.02,-6.75,3.08,0.52,ActiveZone
10200,78a50469d9fa,Ball,0001,6.76,-2.27,2.34,-0.06,-8.07,0.78,0.52,ActiveZone
10400,78a50469d9fa,Ball,0001,6.76,-3.85,2.32,0.16,-7.43,-0.94,0.52,ActiveZone
10600,78a50469d9fa,Ball,0001,6.84,-5.11,2.01,0.69,-4.83,-2.06,0.52,ActiveZone
10800,78a50469d9fa,Ball,0001,7.04,-5.71,1.53,1.20,-1.45,-2.66,0.50,ActiveZone
11000,78a50469d9fa,Ball,0001,7.28,-5.81,0.99,1.06,0.16,-2.53,0.50,ActiveZone
11200,78a50469d9fa,Ball,0001,7.43,-5.77,0.56,0.50,-0.04,-1.80,0.52,ActiveZone
11400,78a50469d9fa,Ball,0001,7.50,-5.82,0.30,0.21,-0.40,-0.73,0.52,ActiveZone
11600,78a50469d9fa,Ball,0001,7.53,-5.90,0.30,0.14,-0.27,0.85,0.52,ActiveZone
11800,78a50469d9fa,Ball,0001,7.57,-5.90,0.67,0.30,0.30,2.96,0.49,ActiveZone
12000,78a50469d9fa,Ball,0001,7.68,-5.77,1.45,0.83,1.03,4.65,0.49,ActiveZone
12200,78a50469d9fa,Ball,0001,7.93,-5.48,2.49,1.79,1.86,5.68,0.49,ActiveZone
12400,78a50469d9fa,Ball,0001,8.43,-5.01,3.65,3.26,2.91,5.53,0.45,ActiveZone
12600,78a50469d9fa,Ball,0001,9.18,-4.35,4.62,4.02,3.62,4.00,0.45,ActiveZone
12800,78a50469d9fa,Ball,0001,9.93,-3.63,5.12,3.46,3.56,1.08,0.47,ActiveZone
13000,78a50469d9fa,Ball,0001,10.58,-2.91,5.10,3.18,3.71,-1.15,0.47,ActiveZone
13200,78a50469d9fa,Ball,0001,11.23,-2.13,4.72,3.31,4.02,-2.63,0.48,ActiveZone
13400,78a50469d9fa,Ball,0001,11.87,-1.37,4.08,2.91,3.40,-3.71,0.48,ActiveZone
13600,78a50469d9fa,Ball,0001,12.33,-0.85,3.26,1.54,1.63,-4.37,0.48,ActiveZone
13800,78a50469d9fa,Ball,0001,12.42,-0.79,2.35,-0.81,-1.25,-4.62,0.53,ActiveZone
14000,78a50469d9fa,Ball,0001,12.05,-1.20,1.40,-2.51,-2.54,-4.75,0.53,ActiveZone
14200,78a50469d9fa,Ball,0001,11.56,-1.66,0.53,-1.87,-1.65,-3.71,0.58,ActiveZone
14400,78a50469d9fa,Ball,0001,11.55,-1.74,0.04,1.32,0.70,-1.36,0.58,ActiveZone
14600,78a50469d9fa,Ball,0001,11.94,-1.44,-0.08,2.25,2.21,0.03,0.58,ActiveZone
14800,78a50469d9fa,Ball,0001,12.29,-0.91,-0.01,0.80,2.90,0.41,0.61,ActiveZone
15000,78a50469d9fa,Ball,0001,12.16,-0.31,0.03,-1.85,3.04,0.02,0.61,ActiveZone
15200,78a50469d9fa,Ball,0001,11.67,0.28,0.01,-2.81,2.79,-0.14,0.61,ActiveZone
15400,78a50469d9fa,Ball,0001,11.19,0.77,-0.01,-1.92,2.20,0.01,0.57,ActiveZone
15600,78a50469d9fa,Ball,0001,10.86,1.18,0.02,-1.44,1.94,0.20,0.57,ActiveZone
15800,78a50469d9fa,Ball,0001,10.58,1.57,0.08,-1.51,2.04,0.44,0.57,ActiveZone
16000,78a50469d9fa,Ball,0001,10.21,2.04,0.19,-2.18,2.62,0.62,0.55,ActiveZone
16200,78a50469d9fa,Ball,0001,9.70,2.58,0.29,-2.97,2.62,0.30,0.55,ActiveZone
16400,78a50469d9fa,Ball,0001,9.05,3.03,0.30,-3.42,1.88,-0.20,0.54,ActiveZone
16600,78a50469d9fa,Ball,0001,8.34,3.33,0.23,-3.70,1.13,-0.39,0.54,ActiveZone
